,hiv4_pw,lm_pw,hiv4_tw,lm_tw
1000228-HSIC-2018-05-08.txt,0.022767075306479877,0.034463347510633006,153.58778556019647,254.45541210735652
1000228-HSIC-2018-08-06.txt,0.02521997421958189,0.03710138429636268,159.97148968162585,267.874376751965
1000228-HSIC-2018-11-06.txt,0.026597435625728503,0.04095581222846241,168.45277279632947,488.2373425180398
1000228-HSIC-2019-05-07.txt,0.028793635715981973,0.049216338161956884,130.97781200277805,519.3925865604963
1000228-HSIC-2019-08-06.txt,0.030097138913955043,0.04798556186634098,129.8209820299239,535.0756975022534
1000228-HSIC-2019-11-05.txt,0.03013573743922207,0.04998987034035666,159.22559967601603,591.6828901740124
1000228-HSIC-2020-05-05.txt,0.028187676925856806,0.0440281876769259,43.996859334554934,375.72728652611823
1000228-HSIC-2020-08-04.txt,0.030358737328641233,0.0390776826513998,43.91665412796024,345.09675228968524
1000228-HSIC-2020-11-02.txt,0.025511350865363016,0.031186783546864518,35.07198148405416,230.50488481042504
1000228-HSIC-2021-05-04.txt,0.019540572792362782,0.025880071599045366,17.511949205500272,74.72447446511893
1000228-HSIC-2021-08-03.txt,0.0205957113993352,0.025158052532099327,17.762443870528458,83.62509320172033
1000228-HSIC-2021-11-02.txt,0.019611714379730163,0.022244159262915425,702.5445250300749,753.0916900976545
1000228-HSIC-2022-05-03.txt,0.01578697099381836,0.01959106038991917,14.132718344315986,130.6483879358065
1000228-HSIC-2022-08-02.txt,0.01919931123547136,0.018854928971157977,14.161594302693505,35.70844233410958
1000228-HSIC-2022-11-01.txt,0.019928420367659024,0.017976248576541412,14.671240956703743,35.19410392946437
1001082-DISH-2018-05-08.txt,0.026948198660805982,0.03787536458119376,155.31097364747922,243.79186637024736
1001082-DISH-2018-08-03.txt,0.02879030821307678,0.03773383217530732,224.3438577491314,338.53951890711653
1001082-DISH-2018-11-07.txt,0.02795278441596066,0.03747555941777116,164.8487616375311,273.47081580210704
1001082-DISH-2019-05-03.txt,0.025502658192429126,0.035695726905704085,139.57314294355456,224.62441793001443
1001082-DISH-2019-07-29.txt,0.02674802009183081,0.03882777110104478,774.070152754391,583.3647084459328
1001082-DISH-2019-11-07.txt,0.02526152431313944,0.034659156224853466,229.76399286961941,365.8543632653322
1001082-DISH-2020-05-07.txt,0.02420630437238732,0.03691673257259061,161.9242687565382,326.5332954949505
1001082-DISH-2020-08-07.txt,0.025313555924632015,0.036309489719947276,129.00151703723077,243.3565424420946
1001082-DISH-2020-11-06.txt,0.0251790070029113,0.033519553072625656,107.46165966836826,229.6011197380344
1001082-DISH-2021-04-29.txt,0.02433294176875312,0.03497231079040103,84.37149746684418,212.87633024282903
1001082-DISH-2021-08-09.txt,0.025122078560240787,0.03378274623015266,89.67702670982513,242.34975589602035
1001082-DISH-2021-11-04.txt,0.025908143853609924,0.03433282000181179,88.00888948159954,252.01230386636595
1001082-DISH-2022-05-06.txt,0.025624279677295424,0.03323088743757209,57.66193116569062,198.46823006773474
1001082-DISH-2022-08-03.txt,0.028262446878347107,0.0337214525101061,59.601101852183085,203.77256895703462
1001082-DISH-2022-11-02.txt,0.028075136336093764,0.033528580084831436,59.80236718631025,205.55422929971536
1001250-EL-2018-02-02.txt,0.0248571869692759,0.018913077041840358,11.581488424287276,45.73314216790119
1001250-EL-2018-05-02.txt,0.023440370343155256,0.01895804247189359,704.5971910825232,49.741846544777744
1001250-EL-2018-10-31.txt,0.024270003792188116,0.018202502844141082,14.913995462574935,67.1106873886958
1001250-EL-2019-02-05.txt,0.023491072034761366,0.020843234435467456,14.910404445041864,69.36705332067773
1001250-EL-2019-05-01.txt,0.02407266260162602,0.022103658536585368,15.165230097469813,70.9069305281534
1001250-EL-2019-10-31.txt,0.021848462362931826,0.018468134223761246,9.628542151452555,52.64968873860904
1001250-EL-2020-02-06.txt,0.018683385579937303,0.020250783699059544,9.9418997659314,53.835574628329425
1001250-EL-2020-05-01.txt,0.02553237722729249,0.02759669708822252,13.292451227098493,70.35440171031905
1001250-EL-2020-11-02.txt,0.020755885997521685,0.022614622057001252,8.6284788430007,50.606621598684924
1001250-EL-2021-02-05.txt,0.018526687251874736,0.023630978637595338,237.76323412769446,47.8440390775378
1001250-EL-2021-05-03.txt,0.02153563118878848,0.02624316865970455,456.89349323523805,50.68239086502285
1001250-EL-2021-11-02.txt,0.018288326903843407,0.01914559222746106,391.8002235527392,55.72727815735924
1001250-EL-2022-02-03.txt,0.018955910852713184,0.020106589147286833,391.1335126233779,67.15713478028228
1001250-EL-2022-05-03.txt,0.018649165983046202,0.021219578889800368,89.3651118720086,67.20072166333956
1001250-EL-2022-11-02.txt,0.023961063272182708,0.022613253463122433,8.741775888093905,47.67297408222923
1002047-NTAP-2018-02-22.txt,0.030692406065404094,0.037695633639851435,45.98858615892972,303.68736145813244
1002047-NTAP-2018-08-21.txt,0.028718570130263542,0.03726143592850647,62.15391219009345,312.28420149340127
1002047-NTAP-2018-11-19.txt,0.028064213733302062,0.03638387625966725,62.00702436551646,312.7401873776819
1002047-NTAP-2019-02-19.txt,0.029721467391304376,0.03674139492753618,62.383394364846176,313.33710497995133
1002047-NTAP-2019-08-19.txt,0.02812757443803693,0.03707190773214077,61.63016412273088,311.41133889217036
1002047-NTAP-2019-11-18.txt,0.02768849038515762,0.03547059155247285,69.22683424824179,312.17601006510233
1002047-NTAP-2020-02-18.txt,0.0281022515659387,0.035833192257773205,68.01127879735702,313.0819403369989
1002047-NTAP-2020-08-28.txt,0.029479107040641113,0.04075558099599307,111.15318840406111,383.2028106635562
